ID | TITULO | PALAVRAS
H4A0WDC9T7k	How to Make a 3D Game Character (Blender)	488
QA60Tita1TE	How to Make 3D Characters Without Modeling in 2025 (Max Novak)	3909
e67NVWFz-L0	Claude AI + Blender MCP Timelapse (Muska)	2
PhB2RKugZXg	Create 3D with AI - Complete Blender MCP Guide (Daniel Vision School)	597
gZIxrX1n2D4	I Built a Modular Character with AI (Stefan 3D AI)	5001
sy4EfjjKAmM	Make your first Movie in Blender (blendereverything)	2259
qy-wwP-b9HY	Stylized 3D Characters Full Masterclass (Kenny Praise)	210577
axkgDt55fJE	Easily create 3D Characters for Blender FAST (Prompt Muse)	3963
zhktftWbumE	Character Animation in Blender (Blender Studio)	3616
TjJLIuFKA20	Animate 3D Characters in 1 Minute (CG Geek)	273
1aNnERnHRZg	Abandoned House in Blender (Blender Guru)	4930
Jdz1I223oFw	Generate 3D Elements from Image in Blender (Architecture Topics)	312
TumrA0XsX0A	Character in Blender - Full Process in 10 Minutes (Keelan Jon)	1591
0cbMH30xs54	Kickstart Your Journey: Learn 3D Animated Character Creation - Using #blender(2026)	0
AZrOhXdOUCI	Lets Learn Animated Character Creation - Blender 3D (2025)	1281
qr8My9yAEcA	01. Unlocking TopologyBasics for 3D Newbies - #blender  #3d	5594
Rb56xjcYLvQ	02. Head Modeling for 3D Newbies - #blender  #3d #animation	4414
qJLD6XChmVc	Upcoming Course Teaser - Releasing November 2023	1
PRNdtc_Caxo	03. Torso Modeling for 3D Newbies - #blender #3d #animation	3287
EiIysqWjGDA	04. Modeling Hands, Arms and Legs - #blender #3d #cgi	5423
Xdy93m2eBl4	05. Lets Model Clothes - Character Modeling #blender3d	6495
w8woC7__Ky0	06. JACKET N SHOES / 3D Character Modeling  #blender3d #animation	4542
eHN6YgtEM-0	07. PROPS MODELING / 3D Character Modeling #blender3d #animation	4443
Oxb6PitG0p0	08 UV Mapping for Texturing - Character Creation Part 8 - #blender3d	5585
8Oap74TkXRA	09 Shading and Texturing - 3D Character Creation #blender3d #animation	6297
WmMgghPvHoM	10 Shading Clothes and Props - 3D Character Creation #blender3d #animation	8280
5eIxHQnLqr0	Blender Beginner Complete Character Tutorial  - Part1 - Modeling the Head	29049
5d1vca8R43A	Blender Complete Character Tutorial  - Part1 - Modeling the Head	15710
teV6HmFyGoI	Blender Complete Character Tutorial  - Part2 - Modeling the Body	9040
ySH7wCj44tc	Blender Complete Character Tutorial  - Part3 - Hands and Feet	8984
NhczQYLkCkg	Blender Complete Character Tutorial  - Part4 - Low Poly Hair	18181
K2fEdcz70Jw	Blender Complete Character Tutorial  - Part5 - Eyelashes and Eyebrows	7243
sdE9q_784F0	Blender Complete Character Tutorial  - Part6 - Baking the Hair, Lashes and Brows	3611
vZtuiBNt7xs	Blender Complete Character Tutorial  - Part7 - UV-ing a character	9586
oCorBaZyygI	Blender Complete Character Tutorial  - Part8 - Texture painting a character	8416
E61LwNLOsGI	Blender Complete Character Tutorial - Part9 - Normal Map -  (v2)	4942
_l3su14sxUI	Blender Complete Character Tutorial - Part10 - Roughness Map -v2	1686
ruosyTT2FmM	Blender Complete Character Tutorial - Part11 -Skin Translucency (sss)	2826
YA4DMhwtL_8	Blender Dress Tutorial - Part1 - Modeling	7518
I0j_YC4xzXk	Blender Dress Tutorial - Part2 - UV Map	7671
aka2iV4XqH4	Blender Dress Tutorial - Part3 - Final sculpt, normal and textures	10761
dv8dsKwPtV8	Blender Shoe Tutorial - Part1 - Modeling & UV	14057
j7nTlUzsdII	Blender Shoe Tutorial - Part2 - Texturing & Normal Map	10494
IOjH0eG43Ak	Blender Rigify Tutorial - Long Hair, Body and Face	24366
62k9seQdARA	How to Attach Clothing to a Rig in Blender	7911
bA1QJHfoRIE	Expressions Tutorial with  Pose Library & Corrective Shapekeys in Blender	6735
Ir-PhXLkH2Y	Your First Character Render Tutorial for Blender	5692
KUZx-787s4A	Make your own ARkit shapekeys for motion capture. Tutorial for Blender.	5203
